2026-06-25 14:47:46.596 [info] Starting Excalidraw MCP server...
2026-06-25 14:47:46.599 [debug] Connecting to transport...
2026-06-25 14:47:46.665 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.666 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.666 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.666 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.666 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.667 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.668 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.669 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.669 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.669 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.669 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.670 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.670 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.670 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.671 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.671 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.671 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.672 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.672 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.672 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.672 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.673 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.674 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.674 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.674 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.674 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.674 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.674 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.675 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.675 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.675 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.675 [error] Uncaught exception: EPIPE: broken pipe, write
